ward,alderman,signed_pedro_letter,alder_first_last
1,"La Spata, Daniel",yes, Daniel La Spata
2,"Hopkins, Brian",yes, Brian Hopkins
3,"Dowell, Pat",yes, Pat Dowell
4,"Robinson, Lamont J.",, Lamont J. Robinson
5,"Yancy, Desmon C.",, Desmon C. Yancy
6,"Hall, William E.",yes, William E. Hall
7,"Mitchell, Gregory I.",yes, Gregory I. Mitchell
8,"Harris, Michelle A.",yes, Michelle A. Harris
9,"Beale, Anthony",, Anthony Beale
10,"Chico, Peter",, Peter Chico
11,"Lee, Nicole T.",yes, Nicole T. Lee
12,"Ramirez, Julia M.",, Julia M. Ramirez
13,"Quinn, Marty",, Marty Quinn
14,"Gutierrez, Jeylu B.",, Jeylu B. Gutierrez
15,"Lopez, Raymond A.",yes, Raymond A. Lopez
16,"Coleman, Stephanie D.",yes, Stephanie D. Coleman
17,"Moore, David H.",yes, David H. Moore
18,"Curtis, Derrick G.",yes, Derrick G. Curtis
19,"O'Shea, Matthew J.",yes, Matthew J. O'Shea
20,"Taylor, Jeanette B.",yes, Jeanette B. Taylor
21,"Mosley, Ronnie L.",yes, Ronnie L. Mosley
22,"Rodriguez, Michael D.",, Michael D. Rodriguez
23,"Tabares, Silvana",, Silvana Tabares
24,"Scott, Monique L.",, Monique L. Scott
25,"Sigcho-Lopez, Byron",yes, Byron Sigcho-Lopez
26,"Fuentes, Jessica L.",, Jessica L. Fuentes
27,"Burnett, Jr., Walter",yes, Walter Burnett Jr.
28,"Ervin, Jason C.",, Jason C. Ervin
29,"Taliaferro, Chris",yes, Chris Taliaferro
30,"Cruz, Ruth",, Ruth Cruz
31,"Cardona, Jr., Felix",, Felix Cardona Jr.
32,"Waguespack, Scott",, Scott Waguespack
33,"Rodriguez Sanchez, Rossana",yes, Rossana Rodriguez Sanchez
34,"Conway, William",, William Conway
35,"Quezada, Anthony J.",yes, Anthony J. Quezada
36,"Villegas, Gilbert",, Gilbert Villegas
37,"Mitts, Emma",yes, Emma Mitts
38,"Sposato, Nicholas",, Nicholas Sposato
39,"Nugent, Samantha",, Samantha Nugent
40,"Vasquez, Jr., Andre",, Andre Vasquez
41,"Napolitano, Anthony V.",, Anthony V. Napolitano
42,"Reilly, Brendan",, Brendan Reilly
43,"Knudsen, Timothy R.",yes, Timothy R. Knudsen
44,"Lawson, Bennett R.",yes, Bennett R. Lawson
45,"Gardiner, James M.",, James M. Gardiner
46,"Clay, Angela",yes, Angela Clay
47,"Martin, Matthew J.",, Matthew J. Martin
48,"Manaa-Hoppenworth, Leni",yes, Leni Manaa-Hoppenworth
49,"Hadden, Maria E.",yes, Maria E. Hadden
50,"Silverstein, Debra L.",, Debra L. Silverstein
