unit_id_text,unit_name,unit_id,school_name,ward,ersb_district,proposed_fy26_budget,tif_surplus_552_m,tif_surplus_387_m,mid_year_cuts,school_id,community,region,student_count,White #,Black #,Latine #,latine_per,black_per,non_white_per
U29251,John J Pershing STEAM Magnet Elementary School,29251,PERSHING,4,6B,"$6,935,296 ","$725,726 ","$508,797 ",10,610126,DOUGLAS,South Side,380,9,331,17,0.044736842,0.871052632,0.976315789
U24531,Logan Square Elementary,24531,LOGAN SQUARE,35,3A,"$9,996,492 ","$1,046,057 ","$733,377 ",15,610074,LOGAN SQUARE,North Side,659,52,29,566,0.858877086,0.04400607,0.921092564
U22351,William H Brown STEM Magnet Elementary School,22351,BROWN W,27,5B,"$5,057,156 ","$529,193 ","$371,010 ",7,609812,NEAR WEST SIDE,West Side,236,0,216,12,0.050847458,0.915254237,1
U25871,A.N. Pritzker School,25871,PRITZKER,1,6A,"$7,814,701 ","$817,749 ","$573,313 ",11,610229,WEST TOWN,West Side,681,268,126,146,0.214390602,0.185022026,0.606461087
U24191,Abraham Lincoln Elementary School,24191,LINCOLN,43,4B,"$9,355,155 ","$978,946 ","$686,326 ",14,610038,LINCOLN PARK,North Side,863,528,77,78,0.090382387,0.089223638,0.388180765
U63011,Academy for Global Citizenship Charter School,63011,GLOBAL CITIZENSHIP,22,7A,"$9,067,228 ","$948,816 ","$665,203 ",13,400009,GARFIELD RIDGE,Southwest Side,491,10,15,452,0.920570265,0.030549898,0.979633401
U66392,Acero Charter Schools - Bartolomé De Las Casas,66392,ACERO - DE LAS CASAS,25,7A,"$6,457,573 ","$675,736 ","$473,749 ",9,400081,LOWER WEST SIDE,West Side,147,3,4,140,0.952380952,0.027210884,0.979591837
U66602,Acero Charter Schools - Brighton Park,66602,ACERO - BRIGHTON PARK,12,7B,"$8,998,529 ","$941,627 ","$660,163 ",13,400153,BRIGHTON PARK,Southwest Side,445,4,4,437,0.982022472,0.008988764,0.991011236
U66393,Acero Charter Schools - Carlos Fuentes,66393,ACERO - FUENTES,35,3A,"$9,112,751 ","$953,580 ","$668,542 ",13,400082,AVONDALE,North Side,242,2,1,239,0.987603306,0.004132231,0.991735537
U66601,Acero Charter Schools - Esmeralda Santiago,66601,ACERO - SANTIAGO,36,5A,"$6,392,105 ","$668,885 ","$468,947 ",9,400114,WEST TOWN,West Side,175,4,12,157,0.897142857,0.068571429,0.977142857
U66399,Acero Charter Schools - Jovita Idar,66399,ACERO - IDAR,14,7B,"$10,142,846 ","$1,061,371 ","$744,114 ",15,400112,GAGE PARK,Southwest Side,547,8,4,535,0.978062157,0.007312614,0.985374771
U66394,Acero Charter Schools - Major Hector P. Garcia MD,66394,ACERO - GARCIA HS,14,7B,"$12,311,752 ","$1,288,331 ","$903,232 ",18,400085,ARCHER HEIGHTS,Southwest Side,639,8,4,622,0.973395931,0.006259781,0.987480438
U66397,Acero Charter Schools - Officer Donald J. Marquez,66397,ACERO - MARQUEZ,12,7B,"$9,611,258 ","$1,005,745 ","$705,115 ",14,400089,BRIGHTON PARK,Southwest Side,495,3,3,487,0.983838384,0.006060606,0.993939394
U66396,Acero Charter Schools - PFC Omar E. Torres,66396,ACERO - TORRES,14,7B,"$9,995,943 ","$1,045,999 ","$733,336 ",15,400080,ARCHER HEIGHTS,Southwest Side,482,4,8,470,0.975103734,0.01659751,0.991701245
U66133,Acero Charter Schools - Roberto Clemente,66133,ACERO - CLEMENTE,29,5A,"$8,703,531 ","$910,758 ","$638,521 ",13,400120,BELMONT CRAGIN,Northwest Side,428,7,40,377,0.880841121,0.093457944,0.98364486
U66391,Acero Charter Schools - Rufino Tamayo,66391,ACERO - TAMAYO,14,7B,"$7,275,914 ","$761,369 ","$533,786 ",11,400084,GAGE PARK,Southwest Side,267,0,0,267,1,0,1
